method,method_label,seed_per_class,generated_total,synthetic_count,train_size,model,accuracy
seed_only,Seed Only (No Synthetic),3,0,0,57,1D-CNN,0.2593984962406015
seed_only,Seed Only (No Synthetic),3,0,0,57,GRU,0.05263157894736842
seed_only,Seed Only (No Synthetic),3,0,0,57,LSTM,0.05263157894736842
seed_only,Seed Only (No Synthetic),3,0,0,57,CNN-GRU,0.05263157894736842
seed_only,Seed Only (No Synthetic),3,0,0,57,RandomForest,0.7669172932330827
seed_only,Seed Only (No Synthetic),4,0,0,76,1D-CNN,0.2857142857142857
seed_only,Seed Only (No Synthetic),4,0,0,76,GRU,0.07142857142857142
seed_only,Seed Only (No Synthetic),4,0,0,76,LSTM,0.05263157894736842
seed_only,Seed Only (No Synthetic),4,0,0,76,CNN-GRU,0.10150375939849623
seed_only,Seed Only (No Synthetic),4,0,0,76,RandomForest,0.8609022556390977
seed_only,Seed Only (No Synthetic),5,0,0,95,1D-CNN,0.3458646616541353
seed_only,Seed Only (No Synthetic),5,0,0,95,GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),5,0,0,95,LSTM,0.05263157894736842
seed_only,Seed Only (No Synthetic),5,0,0,95,CNN-GRU,0.12781954887218044
seed_only,Seed Only (No Synthetic),5,0,0,95,RandomForest,0.8646616541353384
seed_only,Seed Only (No Synthetic),6,0,0,114,1D-CNN,0.43609022556390975
seed_only,Seed Only (No Synthetic),6,0,0,114,GRU,0.16165413533834586
seed_only,Seed Only (No Synthetic),6,0,0,114,LSTM,0.05263157894736842
seed_only,Seed Only (No Synthetic),6,0,0,114,CNN-GRU,0.13533834586466165
seed_only,Seed Only (No Synthetic),6,0,0,114,RandomForest,0.8872180451127819
seed_only,Seed Only (No Synthetic),7,0,0,133,1D-CNN,0.4924812030075188
seed_only,Seed Only (No Synthetic),7,0,0,133,GRU,0.14285714285714285
seed_only,Seed Only (No Synthetic),7,0,0,133,LSTM,0.10150375939849623
seed_only,Seed Only (No Synthetic),7,0,0,133,CNN-GRU,0.16541353383458646
seed_only,Seed Only (No Synthetic),7,0,0,133,RandomForest,0.924812030075188
seed_only,Seed Only (No Synthetic),8,0,0,152,1D-CNN,0.46616541353383456
seed_only,Seed Only (No Synthetic),8,0,0,152,GRU,0.10902255639097744
seed_only,Seed Only (No Synthetic),8,0,0,152,LSTM,0.13533834586466165
seed_only,Seed Only (No Synthetic),8,0,0,152,CNN-GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),8,0,0,152,RandomForest,0.8984962406015038
seed_only,Seed Only (No Synthetic),9,0,0,171,1D-CNN,0.6654135338345865
seed_only,Seed Only (No Synthetic),9,0,0,171,GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),9,0,0,171,LSTM,0.13533834586466165
seed_only,Seed Only (No Synthetic),9,0,0,171,CNN-GRU,0.15413533834586465
seed_only,Seed Only (No Synthetic),9,0,0,171,RandomForest,0.943609022556391
seed_only,Seed Only (No Synthetic),10,0,0,190,1D-CNN,0.6278195488721805
seed_only,Seed Only (No Synthetic),10,0,0,190,GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),10,0,0,190,LSTM,0.13533834586466165
seed_only,Seed Only (No Synthetic),10,0,0,190,CNN-GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),10,0,0,190,RandomForest,0.9172932330827067
seed_only,Seed Only (No Synthetic),11,0,0,209,1D-CNN,0.6729323308270677
seed_only,Seed Only (No Synthetic),11,0,0,209,GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),11,0,0,209,LSTM,0.15037593984962405
seed_only,Seed Only (No Synthetic),11,0,0,209,CNN-GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),11,0,0,209,RandomForest,0.9172932330827067
seed_only,Seed Only (No Synthetic),12,0,0,228,1D-CNN,0.7330827067669173
seed_only,Seed Only (No Synthetic),12,0,0,228,GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),12,0,0,228,LSTM,0.11654135338345864
seed_only,Seed Only (No Synthetic),12,0,0,228,CNN-GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),12,0,0,228,RandomForest,0.9699248120300752
seed_only,Seed Only (No Synthetic),13,0,0,247,1D-CNN,0.7406015037593985
seed_only,Seed Only (No Synthetic),13,0,0,247,GRU,0.11654135338345864
seed_only,Seed Only (No Synthetic),13,0,0,247,LSTM,0.11654135338345864
seed_only,Seed Only (No Synthetic),13,0,0,247,CNN-GRU,0.13533834586466165
seed_only,Seed Only (No Synthetic),13,0,0,247,RandomForest,0.9285714285714286
seed_only,Seed Only (No Synthetic),14,0,0,266,1D-CNN,0.7706766917293233
seed_only,Seed Only (No Synthetic),14,0,0,266,GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),14,0,0,266,LSTM,0.10526315789473684
seed_only,Seed Only (No Synthetic),14,0,0,266,CNN-GRU,0.13533834586466165
seed_only,Seed Only (No Synthetic),14,0,0,266,RandomForest,0.9774436090225563
seed_only,Seed Only (No Synthetic),15,0,0,285,1D-CNN,0.8195488721804511
seed_only,Seed Only (No Synthetic),15,0,0,285,GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),15,0,0,285,LSTM,0.15789473684210525
seed_only,Seed Only (No Synthetic),15,0,0,285,CNN-GRU,0.14661654135338345
seed_only,Seed Only (No Synthetic),15,0,0,285,RandomForest,0.9323308270676691
seed_only,Seed Only (No Synthetic),16,0,0,304,1D-CNN,0.8308270676691729
seed_only,Seed Only (No Synthetic),16,0,0,304,GRU,0.10526315789473684
seed_only,Seed Only (No Synthetic),16,0,0,304,LSTM,0.06015037593984962
seed_only,Seed Only (No Synthetic),16,0,0,304,CNN-GRU,0.14285714285714285
seed_only,Seed Only (No Synthetic),16,0,0,304,RandomForest,0.9323308270676691
seed_only,Seed Only (No Synthetic),17,0,0,323,1D-CNN,0.7293233082706767
seed_only,Seed Only (No Synthetic),17,0,0,323,GRU,0.10902255639097744
seed_only,Seed Only (No Synthetic),17,0,0,323,LSTM,0.09774436090225563
seed_only,Seed Only (No Synthetic),17,0,0,323,CNN-GRU,0.12781954887218044
seed_only,Seed Only (No Synthetic),17,0,0,323,RandomForest,0.9511278195488722
seed_only,Seed Only (No Synthetic),18,0,0,342,1D-CNN,0.8609022556390977
seed_only,Seed Only (No Synthetic),18,0,0,342,GRU,0.11654135338345864
seed_only,Seed Only (No Synthetic),18,0,0,342,LSTM,0.15789473684210525
seed_only,Seed Only (No Synthetic),18,0,0,342,CNN-GRU,0.19548872180451127
seed_only,Seed Only (No Synthetic),18,0,0,342,RandomForest,0.9661654135338346
seed_only,Seed Only (No Synthetic),19,0,0,361,1D-CNN,0.793233082706767
seed_only,Seed Only (No Synthetic),19,0,0,361,GRU,0.12406015037593984
seed_only,Seed Only (No Synthetic),19,0,0,361,LSTM,0.14661654135338345
seed_only,Seed Only (No Synthetic),19,0,0,361,CNN-GRU,0.2631578947368421
seed_only,Seed Only (No Synthetic),19,0,0,361,RandomForest,0.9661654135338346
seed_only,Seed Only (No Synthetic),20,0,0,380,1D-CNN,0.8533834586466166
seed_only,Seed Only (No Synthetic),20,0,0,380,GRU,0.13909774436090225
seed_only,Seed Only (No Synthetic),20,0,0,380,LSTM,0.14285714285714285
seed_only,Seed Only (No Synthetic),20,0,0,380,CNN-GRU,0.3082706766917293
seed_only,Seed Only (No Synthetic),20,0,0,380,RandomForest,0.9511278195488722
